"Land";"Diplom";"Club";"K/L";"Bemerkung";"DB Seite";"ID"
"DL";"Sylt-Diplom";"M19";"L";"ersetzt Seite 273, (RB24+29)";312;2089
"W";"WAC RTTY";;"L";;313;2241
"DL";"Die Fischerin vom Bodensee";"P03";"L";;314;1565
"DL";"Köln Diplom";"G10";"L";"Seite 1176 - QRT";314;1808
"VO";"Worked all VO";;"L";"ersetzt S. 11, (RB29)";317;2286
"I";"WIPX";;"L";;317;2321
"DL";"WBFG";;"L";"s. auch S.302 -- Seite 1369 - QRT";318;2295
"HS";"Siam Award";;"L";"ersetzt Seite 163";319;2034
"W";"US-County Award";;"L";"Seite 1063 neuer Manager";321;184
"W";"USA County Award";;"L";;321;2187
"OE";"Schwechat Diplom";;"L";"S. 2026 = Gebühr/Manager neu";326;2051
"W";"TROT";;"L";;327;2167
"PA";"Zeeland Award";;"L";"QRT";327;2433
"JA";"IPA";;"L";;328;1762
"F";"YL-Award-F";;"L";;328;2404
"W";"Worked Frankford Radio Club";;"L";;329;2310
"PY";"PP 100";;"L";"Seite 1176 - Adresse neu, (RB32)";330;1963
"PY";"PPCDX";;"L";"(RB32) QRT ???";330;1965
"PY";"PPCEP";;"L";"(RB32) QRT ???";330;1966
"PY";"PPCPY";;"L";"(RB32) QRT ???";330;1967
"PY";"PPPXA";;"L";"(RB32)";331;1969
"CT";"ARP-PCA";;"L";;332;1377
"CE";"CE Award";;"L";;332;1449
"Y2";"Y2-CA";;"L";"QRT";341;2395
"VE";"Niagara Paraa";;"L";;343;1888
"W";"NHACA";;"L";;344;1887
"VK";"Blue Lake Award";;"L";;345;1418
"OE";"W-RTTY-OE";;"L";;345;2391
"W";"Certificate of Recognition";"CDXC";"L";;346;1455
"HK0";"Henry Morgan Award";;"L";"QRT 1995";346;1726
"DL";"Hummel-Diplom";"E14";"L";"Seite 1559: QRT";347;1746
"DL";"Europäisches Modellstädte Diplom";;"L";"Seite 1824: Adresse neu";348;1197
"DL";"Europa Modellstädte Diplom";;"L";;348;1658
"W";"King Neptun Award";"YLSSB";"L";;348;1804
"VE";"WAPA";;"L";"auch S.305";349;2272
"ZS";"WATA";;"L";;349;2282
"XE";"100 X Award";;"L";;350;1287
"JA";"International SSB OP Club";;"L";"Seite 1064: neuer Manager";351;186
"JA";"ISOC";;"L";"(RB30)";351;1770
"W";"Uster County Award";;"L";;351;2190
"DL";"Emil von Behring Diplom";;"L";"QRT (S.1930)";352;2527
"VE3";"Worked Ontario Counties Award";;"L";"Seite 1176 - Manager neu - QRT 1999";354;362
"VE";"WOC 30 / WOC 50";;"L";;354;2330
"OX/OZ";"Greenland Award";;"L";"Seite 1765: Adresse neu";355;1706
"DL";"MOBA";;"L";;355;1873
"9M";"Worked all Malaysia";;"L";;356;2265
"SP";"Cracovia Award";;"L";;357;1489
"G";"Cheshire Award";;"L";"QRT ???";358;1463
"W";"UCBA";;"L";;362;2175
"DU";"WAAA";;"L";;362;2229
"DU";"Worked all DU";;"L";"ersetzt Seite 554";362;2249
"ZS2";"Algos CW Merit Award";;"L";;363;1356
"PY";"PPQRA";;"L";"ersetzt Seite 330, (RB32)";363;1970
"OE";"WAVA Diplom";;"L";;366;2284
"RA";"Tjumen Award";;"L";;367;2149
"VP9";"Bermuda 100 Club";;"L";;370;1410
"VP9";"WABA";;"L";;370;2238
"CE";"WACE";;"L";;370;2244
"VP9";"FP 80-40 Award";;"L";;371;1676
"VP9";"VP9DL DX Award";;"L";;371;2210
"VP9";"VP9E 10/15 Award";;"L";;371;2211
"DL";"Worked all DA";;"L";"Seite 1369 - QRT";371;2246
"VE";"WACAN";;"L";;372;2243
"VE";"Worked all VE";;"L";"(RB31) - neue Adresse S. 2076";372;2285
"JA";"DXF Awards (DX-Family)";;"L";"(RB28)";373;1628
"PY";"ABCW Award";;"L";"QRT 2005";374;1337
"PY4";"CWMG";;"L";"QRT ???";374;1500
"DL";"Glück-Auf-Diplom";"G02";"L";"S.1021 - neuer Manager - S.2241 neue Gebühr";375;1697
"DL";"Deutschherren-Diplom";"Q12";"L";"Seite 1622: Adresse neu";376;1005
"DL";"Marienburg-Plakette";"H39";"L";"Seite 1491: QRT";376;1846
"DL";"Alt Dortmund Diplom";;"L";"Seite 1369: QRT";377;653
"DL";"Worked all Bielefeld";"N01";"L";;378;2239
"DL";"Todtmoos Diplom";;"L";;379;2152
"OE6";"OE6-YL Award";;"L";;381;1910
"PY";"Pica-Pau-Carioca";;"L";"(RB29)";382;1954
"PY";"PPC";;"L";"(RB32)";382;1964
"OE6";"OE6 Aichfeld Award";;"L";;383;1908
"W";"The Camel Corps Award";;"L";;383;2110
"OE7";"The Tyrol Award";;"L";;384;2137
"PP5";"DCJ (Joinville)";;"L";"QRT ???";385;1516
"EA";"XE-EA Award";;"L";"Seite 1064 - QRT";386;2394
;"Worked IBM Worldwide";;"L";"Seite 1021 - ab 1993 QRT";387;100
"VK";"BFA - Bougainvillea Festival";;"L";"QRT (S.1930)";387;1411
"OE";"WIW - IBM Worldwide";;"L";"(RB32)";387;2322
;"Center of Population Award";;"L";"Seite 1177: QRT";388;365
"W";"CPA";;"L";;388;1487
"CE";"100 CE Award";;"L";"(RB37) - QRT";389;1283
"CE";"50 MHz CE Award";;"L";"(RB37) - QRT";389;1320
"CE";"ABCE Award";;"L";"(RB37) - QRT";389;1336
"CE";"CE Diplomprogramm";;"B";"(RB37)";389;1450
"YV";"All YV Award";;"L";"(RB30)";390;1362
